Russisch,Nederlands
деревушке,dorp
увереннее,zelfzekerder
википедии,Wikipedia
торпеда,torpedo
незабываемый,onvergetelijk
конгрессу,Congres
актерами,acteurs
поворачиваю,ik draai
рейх,Rijk
чтο,Wat
раненым,gewond
фолкнер,Faulkner
лото,lotto
снесет,zal slopen
сандерсон,Sanderson
стирала,gewassen
мамашей,moeders
таверна,taverne
ручную,handmatig
альваро,Alvaro
байка,fiets
поглощения,overnames
декану,aan de decaan
произойдут,zal gebeuren
девин,Devin
исполнили,uitgevoerd
арри,arri
соскочить,Spring er af
ковром,tapijt
пожилого,ouderen
тестировать,test
гребите,rij
бублики,bagels
юра,Yura
туловище,torso
кокран,cochran
возит,draagt
влагалища,vagina
обнимите,knuffel
стимуляции,stimulatie
гибкость,flexibiliteit
убедительна,overtuigend
эпилепсия,epilepsie
отвлёкся,raakte afgeleid
грёбаных,neuken
1cha054cc,1cha054cc
расистом,racistisch
присоединяюсь,ik doe mee
менялись,veranderd
успешными,succesvol
психикой,Psyche
облил,overgoten
шагами,stappen
стёрли,gewist
романтического,romantisch
стажем,ervaring
перестроить,herbouwen
буль,boul
сдадутся,zal opgeven
увеличится,zal toenemen
упражняться,oefening
сердита,boos
обнимала,omhelsd
починишь,jij repareert het
несварение,indigestie
херь,stront
лау,lauw
троицы,Drie-eenheid
очистит,zal reinigen
экспонаты,tentoonstellingen
проголосует,zal stemmen
уголках,hoeken
надерем,laten we trappen
матчей,wedstrijden
mm-hmm,mm-hmm
продуктовом,boodschap
отвергать,afwijzen
съедают,eten
кун-фу,kungfu
поражаюсь,ik ben verbaasd
жалеете,het spijt je
убер,zeer
числами,cijfers
обдумаем,laten we erover nadenken
пасо,Paso
растаял,gesmolten
апельсинов,sinaasappelen
дмитрия,Dmitry
итану,Ethan
подкинули,geplant
метлу,bezem
опаздывайте,te laat zijn
блэквуд,zwart hout
супружеские,huwelijkszaken
похотливый,wellustig
головки,hoofden
помощниками,assistenten
зорро,Zoro
шоу-бизнесе,show business
припарковалась,geparkeerd
торжественное,plechtig
восхищались,bewonderd
неизбежным,onvermijdbaar
беспомощный,hulpeloos
розыгрыши,praktische grappen
шестую,zesde
поспрашивать,vraag rond
бесчисленное,talloze
ясной,duidelijk
принадлежащее,behorend bij
штурмом,storm
рани,Rani
заменяю,Ik vervang
онилл,onill
комплекта,set
саблю,sabel
метеор,meteoor
каменное,steen
направим,wij sturen
мана,mana
забавную,grappig
крохотная,klein
мятой,munt
немецкую,Duits
недовольства,ontevredenheid
скрываясь,verbergen
коммуникаций,communicatie
недостойна,onwaardig
выбрасываю,Ik gooi het weg
накормлю,Ik zal je voeden
пэна,pena
рожон,probleem
прибрал,schoongemaakt
янек,Janek
отсидеть,serveertijd
защищено,beschermd
поместят,zal plaatsen
обалдел,verbijsterd
водяные,water
создай,creëren
камешек,kiezelsteen
муниципалитет,gemeente
будапеште,Boedapest
встречаясь,ontmoeting
негативы,negatieven
парализована,verlamd
ссорился,ruzie gemaakt
усилиями,pogingen
кальян,hookah
нытик,zeurpiet
осиное,esp
допивай,maak je drankje af
ноттингем,nottingham
неудачные,mislukt
прячем,verbergen
заключаем,wij concluderen
образцовым,voorbeeldig
крюком,haak
зaчeм,Waarom
номи,nomi
променяла,uitgewisseld
кэррол,carroll
заруби,snijd het af
кружиться,ronddraaien
арендовала,verhuurd
разоблачили,blootgesteld
расстроили,boos
поддержание,onderhouden
подвергаете,blootleggen
гэби,Gebi
мышца,spier
исправление,correctie
удвою,Ik zal het verdubbelen
щик,doos
пинты,pinten
отошлю,Ik stuur het
вырвались,uitgebroken
nan,na
михаль,Michal
покурим,laten we roken
розита,Rosita
рюмочку,een glas
перегибаешь,je buigt het
минутки,minuten
магическим,magisch
слугами,bedienden
deal,overeenkomst
фрэйзер,Fraser
упрощает,vereenvoudigt
сдаёт,verhuurt
взлетает,vertrekt
прикроют,zal bedekken
округов,districten
вэнса,Vance
разлука,afscheid
раздражало,vervelend
вечных,eeuwig
рёбер,ribben
прихвачу,Ik pak het
порохом,buskruit
исключительная,buitengewoon
операциям,activiteiten
доставите,leveren
принцы,prinsen
вызванный,veroorzaakt
ускорения,versnelling
вампирам,vampieren
брейк,pauze 
подберем,wij selecteren
дроидов,droids
сосна,pijnboom
параллельной,parallel
повышен,verhoogd
завален,bezaaid
тронуло,aangeraakt
iris,iris
выпечку,bakken
конкуренцию,concurrentie
половая,seksueel
оранжевые,oranje
удобным,handig
иветт,Yvette
заурядный,normaal
воска,was
хитростью,sluw
денутся,ga weg
прыгала,sprong
тюремное,gevangenis
подсознания,onbewust
приглашении,uitnodiging
хола,Hallo
звездным,hemels
пахла,rook
экранах,schermen
диснея,Disney
имплант,implanteren
ауди,Audi
далекие,afstandelijk
косточку,bot
грохнул,sloeg
звучали,klonk
почистила,heb het schoongemaakt
одагири,odagiri
навеселе,aangeschoten
удержался,hield vast
джессап,Jessup
донг,dong
карлосу,Carlos
избегали,vermeden
кричим,wij schreeuwen
грейт,Geweldig
